地区,类型,名称,链接,标记
天津,合作办学项目,天津工业大学与美国博林格林州立大学合作举办信息管理与信息系统专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/1033,▲
天津,合作办学项目,天津城建大学与丹麦VIA大学学院合作举办工程管理专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/1034,▲
天津,合作办学项目,天津师范大学与莫斯科国立文化学院合作举办音乐学专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/1096,▲
天津,合作办学项目,天津大学与法国波尔多国立高等建筑景观学院合作举办建筑学（风景园林）专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/1125,▲
天津,合作办学项目,天津中医药大学与英国诺丁汉大学合作举办临床药学专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/1855,▲
天津,合作办学项目,天津财经大学珠江学院与美国阿兰特国际大学合作举办物联网工程专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/2122,▲
天津,合作办学项目,天津财经大学与美国西弗吉尼亚大学合作举办金融学专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/2185,▲
天津,合作办学项目,南开大学与法国诺欧商学院合作举办电子商务专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/2259,▲
天津,合作办学项目,天津职业技术师范大学与爱尔兰大西洋理工大学合作举办电子信息工程专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/2260,▲
天津,合作办学项目,天津外国语大学与保加利亚国家与世界经济大学合作举办经济学专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/2712,▲
重庆,合作办学机构,重庆工商大学现代国际设计艺术学院,https://www.crs.jsj.edu.cn/aproval/detail/19,●
重庆,合作办学机构,重庆工商大学国际商学院,https://www.crs.jsj.edu.cn/aproval/detail/35,●
重庆,合作办学机构,"西南大学西塔学院（Westa College, Southwest University）",https://www.crs.jsj.edu.cn/aproval/detail/2165,▲
重庆,合作办学机构,"重庆医科大学莱斯特大学联合学院（英文：CQMU - University of Leicester Joint Institute, Chongqing Medical University）",https://www.crs.jsj.edu.cn/aproval/detail/3439,"▲, ■"
重庆,合作办学项目,四川外国语大学与澳大利亚纽卡斯尔大学合作举办商务英语专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/724,▲
重庆,合作办学项目,重庆交通大学与英国诺森比亚大学合作举办机械设计制造及其自动化专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/787,▲
重庆,合作办学项目,重庆交通大学与英国伦敦南岸大学合作举办土木工程专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/855,▲
重庆,合作办学项目,重庆邮电大学与美国北亚利桑那大学合作举办电子信息工程专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/943,▲
重庆,合作办学项目,西南大学与澳大利亚迪肯大学合作举办软件工程专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/1002,▲
重庆,合作办学项目,西南政法大学与英国考文垂大学合作举办法学专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/1085,▲
重庆,合作办学项目,重庆移通学院与德国海德堡应用技术大学合作举办电气工程及其自动化专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/1086,▲
重庆,合作办学项目,重庆理工大学与韩国科学技术院合作举办电子信息工程专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/1087,▲
重庆,合作办学项目,重庆大学与美国辛辛那提大学合作举办机械设计制造及其自动化专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/1088,▲
重庆,合作办学项目,西南大学与澳大利亚西澳大学合作举办自动化专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/1089,▲
重庆,合作办学项目,重庆大学与美国辛辛那提大学合作举办电气工程及其自动化专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/1164,▲
